date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross
2020-10-13,V1,MTSA4,rebalance_sell,,,1.0,1022,27791.4504,6.9496,2020-10-15,1,,,
2020-10-13,V1,NVDC34,rebalance_sell,,,1.0,1,1.657701699484531,0.0004145290571354166,2020-10-14,1,,,
2020-10-13,V1,TSLA34,rebalance_sell,,,1.0,1,25.98247855198851,0.006497243948984374,2020-10-14,1,,,
2020-10-13,V1,Q1UA34,concentration_trim,,,,20,561.89412967375,0.14050865958333333,2020-10-14,1,0.1529755481671865,0.2,577.2207986420617
2020-10-20,V1,MTSA4,rebalance_sell,,,1.0,1,27.293175,0.006825,2020-10-22,1,,,
2020-10-20,V1,T2TD34,rebalance_sell,,,1.0,1,3.4175604662325,0.0008546037675,2020-10-21,1,,,
2020-10-20,V1,E2NP34,concentration_trim,,,,68,1763.2332478584,0.44091854160000005,2020-10-21,1,0.15888075913331506,0.2,1770.124812353759
2020-10-20,V1,FDXB34,concentration_trim,,,,1,1604.15306145,0.40113855000000004,2020-10-21,1,0.16100210322828382,0.2,2192.9491093350043
2020-10-20,V1,Q1UA34,concentration_trim,,,,16,469.15244255999994,0.11731744,2020-10-21,1,0.1524440147635671,0.2,487.1422401175005
2020-10-22,V1,E2NP34,defensive_sell,6.0,-2.962412833882313,1.0,1152,26605.1792595456,6.652958054400001,2020-10-23,0,,,
2020-10-27,V1,AVGO34,rebalance_sell,,,1.0,2,5.8025957311714285,0.0014510116857142856,2020-10-28,1,,,
2020-10-27,V1,CSNA3,concentration_trim,,,,18,386.18343000000004,0.09657,2020-10-29,1,0.15202113590932692,0.2,391.7344804393251
2020-10-27,V1,Q1UA34,concentration_trim,,,,3,85.8024957620625,0.0214559879375,2020-10-28,1,0.1505536744640396,0.2,107.31256093932097
2020-10-29,V1,UPSS34,defensive_sell,6.0,-3.5867344214353625,1.0,472,27508.042905591003,6.878730409000001,2020-10-30,0,,,
2020-11-04,V1,C1PR34,rebalance_sell,,,1.0,229,19769.57528927025,4.9436297297500005,2020-11-05,1,,,
2020-11-04,V1,E2NP34,rebalance_sell,,,1.0,65,1571.4653962098,0.3929645902,2020-11-05,1,,,
2020-11-04,V1,NVDC34,rebalance_sell,,,1.0,1,1.63569804489875,0.00040902676791666667,2020-11-05,1,,,
2020-11-04,V1,UPSS34,rebalance_sell,,,1.0,1,57.835565992875004,0.014462507125000003,2020-11-05,1,,,
2020-11-04,V1,LUXM4,concentration_trim,,,,172,1332.66675,0.33325,2020-11-06,1,0.15674438656688122,0.2,1339.8682408941386
2020-11-04,V1,Q1UA34,concentration_trim,,,,27,812.7003361095001,0.20322589050000003,2020-11-05,1,0.15412649615358995,0.2,819.7857303941419
2020-11-05,V1,Q1UA34,defensive_sell,6.0,-2.995803197135183,1.0,990,29586.933436995,7.398583005000001,2020-11-06,0,,,
2020-11-05,V1,DEEC34,defensive_sell,5.0,-1.8609016005571983,0.5,331,15094.918842887602,3.7746733790666673,2020-11-06,0,,,
2020-11-05,V1,CSNA3,defensive_sell,5.0,-1.8293248679080227,0.5,678,14220.883890000001,3.5561100000000003,2020-11-09,0,,,
2020-11-10,V1,FDXB34,defensive_sell,6.0,-4.4288929692899535,1.0,19,27260.709966288,6.816881712,2020-11-11,0,,,
2020-11-11,V1,RSUL3,rebalance_sell,,,1.0,3,0.29992500000000005,7.500000000000001e-05,2020-11-13,1,,,
2020-11-11,V1,TXRX4,rebalance_sell,,,1.0,1,2.819295,0.000705,2020-11-13,1,,,
