arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
Baseline,2,2024-11-08,2024-11-07,2024-11-21,2024-11-19,HOLDOUT,7,10,5,0.5,NGRD3;U1AL34;RCSL4;P2LT34;N1CL34;C1CL34;DEAI34;AMBP3;R1CL34;TRAD3,NGRD3;RCSL4;C1CL34;AMBP3;TRAD3;BKNG34;EXGR34;ORCL34;D1EL34;CSCO34,DEAI34;N1CL34;P2LT34;R1CL34;U1AL34,BKNG34;CSCO34;D1EL34;EXGR34;ORCL34,0.08883040070600828,0.05370552755388471,0.05345552755388471,0.00025,0,0.0,0,0,
Baseline,2,2024-11-21,2024-11-19,2024-12-02,2024-11-29,HOLDOUT,7,10,1,0.1,NGRD3;U1AL34;AMBP3;P2LT34;RCSL4;TRAD3;N1CL34;DEAI34;C1CL34;A2XO34,NGRD3;U1AL34;P2LT34;RCSL4;TRAD3;N1CL34;DEAI34;C1CL34;A2XO34;TSLA34,AMBP3,TSLA34,-0.02354942431908517,-0.0033407039995264516,-0.0033907039995264517,5e-05,0,0.0,4,0,0.0
Baseline,2,2024-12-02,2024-11-29,2024-12-11,2024-12-10,HOLDOUT,7,10,0,0.0,NGRD3;U1AL34;AMBP3;P2LT34;A2XO34;EXGR34;TRAD3;C1CL34;TSLA34;R1CL34,NGRD3;U1AL34;AMBP3;P2LT34;A2XO34;EXGR34;TRAD3;C1CL34;TSLA34;R1CL34,,,0.02190121895764562,0.02190121895764562,0.02190121895764562,0.0,0,0.0,1,0,0.0
Baseline,2,2024-12-11,2024-12-10,2024-12-20,2024-12-19,HOLDOUT,7,10,0,0.0,NGRD3;P2LT34;U1AL34;TRAD3;TSLA34;AMBP3;A2XO34;C1CL34;EXGR34;C2OI34,NGRD3;P2LT34;U1AL34;TRAD3;TSLA34;AMBP3;A2XO34;C1CL34;EXGR34;C2OI34,,,-0.06027980755091914,-0.06027980755091914,-0.06027980755091914,0.0,0,0.0,0,0,
Baseline,2,2024-12-20,2024-12-19,2025-01-06,2025-01-03,HOLDOUT,7,10,1,0.1,NGRD3;P2LT34;U1AL34;TSLA34;TPRY34;A2XO34;L1UL34;R1CL34;NFLX34;L1YV34,NGRD3;P2LT34;U1AL34;TSLA34;TPRY34;A2XO34;L1UL34;NFLX34;L1YV34;G2DD34,R1CL34,G2DD34,-0.026459377478523775,-0.02623208723403573,-0.02628208723403573,5e-05,0,0.0,2,0,0.0
Baseline,2,2025-01-06,2025-01-03,2025-01-15,2025-01-14,HOLDOUT,7,10,1,0.1,NGRD3;P2LT34;U1AL34;TPRY34;FRIO3;TSLA34;A2XO34;EXGR34;L1UL34;C2OI34,NGRD3;P2LT34;U1AL34;TPRY34;FRIO3;A2XO34;EXGR34;L1UL34;C2OI34;R1CL34,TSLA34,R1CL34,-0.03310011877193335,-0.030027401725631776,-0.030077401725631777,5e-05,0,0.0,1,0,0.0
Baseline,2,2025-01-15,2025-01-14,2025-01-24,2025-01-23,HOLDOUT,7,10,3,0.3,FRIO3;U1AL34;TSLA34;L1UL34;P2LT34;TPRY34;DEAI34;T1TW34;KMIC34;R1LC34,FRIO3;U1AL34;TSLA34;L1UL34;P2LT34;DEAI34;KMIC34;FOXC34;S1YF34;M1CK34,R1LC34;T1TW34;TPRY34,FOXC34;M1CK34;S1YF34,0.015404980181888708,0.018624539014098943,0.018474539014098942,0.00015000000000000001,0,0.0,1,0,0.0
Baseline,2,2025-01-24,2025-01-23,2025-02-04,2025-02-03,HOLDOUT,7,10,1,0.1,FRIO3;P2LT34;TSLA34;U1AL34;TPRY34;CTGP34;FOXC34;TTEN3;NFLX34;AMZO34,FRIO3;P2LT34;TSLA34;U1AL34;TPRY34;CTGP34;FOXC34;TTEN3;AMZO34;M1CK34,NFLX34,M1CK34,0.005880026625165779,0.007328567558229181,0.007278567558229181,5e-05,0,0.0,1,0,0.0
Baseline,2,2025-02-04,2025-02-03,2025-02-13,2025-02-12,HOLDOUT,7,10,0,0.0,FRIO3;P2LT34;TPRY34;J2BL34;FOXC34;G2DD34;MNPR3;TTEN3;A2XO34;NFLX34,FRIO3;P2LT34;TPRY34;J2BL34;FOXC34;G2DD34;MNPR3;TTEN3;A2XO34;NFLX34,,,0.006252810541233727,0.006252810541233727,0.006252810541233727,0.0,0,0.0,1,0,0.0
Baseline,2,2025-02-13,2025-02-12,2025-02-24,2025-02-21,HOLDOUT,7,10,0,0.0,P2LT34;TPRY34;FRIO3;FOXC34;CTKA3;J2BL34;R1LC34;NFLX34;BKYY39;EKTR4,P2LT34;TPRY34;FRIO3;FOXC34;CTKA3;J2BL34;R1LC34;NFLX34;BKYY39;EKTR4,,,-0.02302592886812291,-0.02302592886812291,-0.02302592886812291,0.0,0,0.0,1,0,0.0
Baseline,2,2025-02-24,2025-02-21,2025-03-07,2025-03-06,HOLDOUT,7,10,0,0.0,TPRY34;FOXC34;FRIO3;AZEV4;P2LT34;CTKA3;J2BL34;IRBR3;LAND3;AMAR3,TPRY34;FOXC34;FRIO3;AZEV4;P2LT34;CTKA3;J2BL34;IRBR3;LAND3;AMAR3,,,-0.040823653007257835,-0.040823653007257835,-0.040823653007257835,0.0,0,0.0,1,0,0.0
Baseline,2,2025-03-07,2025-03-06,2025-03-18,2025-03-17,HOLDOUT,7,10,0,0.0,AZEV4;AZEV3;FRIO3;AHEB6;TPRY34;LAND3;MNPR3;CTKA3;VRSN34;FRAS3,AZEV4;AZEV3;FRIO3;AHEB6;TPRY34;LAND3;MNPR3;CTKA3;VRSN34;FRAS3,,,-0.0381511389187144,-0.0381511389187144,-0.0381511389187144,0.0,0,0.0,0,0,
Baseline,2,2025-03-18,2025-03-17,2025-03-27,2025-03-26,HOLDOUT,7,10,0,0.0,AZEV4;AHEB6;AZEV3;FRIO3;RSUL4;CTKA3;AMAR3;VRSN34;MTSA4;FRAS3,AZEV4;AHEB6;AZEV3;FRIO3;RSUL4;CTKA3;AMAR3;VRSN34;MTSA4;FRAS3,,,0.0029375759431903817,0.0029375759431903817,0.0029375759431903817,0.0,0,0.0,1,0,0.0
Baseline,2,2025-03-27,2025-03-26,2025-04-07,2025-04-04,HOLDOUT,7,10,1,0.1,BHIA3;COGN3;AMAR3;AURA33;AHEB6;FRAS3;HOOT4;TRIS3;CVSH34;CTKA3,BHIA3;COGN3;AMAR3;AURA33;AHEB6;FRAS3;TRIS3;CVSH34;CTKA3;CYRE3,HOOT4,CYRE3,-0.06476306831499604,-0.05245033461358608,-0.05250033461358608,5e-05,1,1.0,1,0,0.0
