date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2019-06-03,C08_P1,CSNA3,rebalance_sell,,,1.0,1,16.075979999999998,0.004019999999999999,2019-06-05,1,,,,1,8
2019-06-03,C08_P1,M1SC34,rebalance_sell,,,1.0,856,16405.395797457004,4.102374543000001,2019-06-04,1,,,,1,8
2019-06-03,C08_P1,QCOM34,rebalance_sell,,,1.0,2,43.32149991674999,0.010833083249999998,2019-06-04,1,,,,1,8
2019-06-03,C08_P1,INBR32,concentration_trim,,,,38,1004.46882,0.25118,2019-06-05,1,0.15876293887708645,0.2,1015.7137771701273,1,8
2019-06-04,C08_P1,B1RF34,defensive_sell,6.0,-2.5100665448492716,1.0,92,11242.056683024999,2.811216975,2019-06-05,0,,,,1,8
2019-06-05,C08_P1,RNEW4,defensive_sell,6.0,-4.128738364572701,1.0,1,1.499625,0.000375,2019-06-07,0,,,,1,8
2019-06-05,C08_P1,MNPR3,defensive_sell,5.0,-2.9357459921872904,0.5,13776,7079.093784000001,1.7702160000000002,2019-06-07,0,,,,1,8
2019-06-06,C08_P1,INBR32,defensive_sell,6.0,-2.6476268236084803,1.0,657,16418.266407,4.105593,2019-06-10,0,,,,1,8
2019-06-13,C08_P1,MNPR3,rebalance_sell,,,1.0,13775,5673.8811749999995,1.4188249999999998,2019-06-17,1,,,,1,8
2019-06-13,C08_P1,RSUL4,rebalance_sell,,,1.0,8,61.66458,0.01542,2019-06-17,1,,,,1,8
2019-06-13,C08_P1,BPAC5,concentration_trim,,,,151,566.1084375,0.1415625,2019-06-17,1,0.1550456523279471,0.2,567.5907859619801,1,8
2019-06-13,C08_P1,CPLE3,concentration_trim,,,,137,634.6992855000001,0.1587145,2019-06-17,1,0.1556737736797444,0.2,638.2480203369814,1,8
2019-06-13,C08_P1,E2NP34,concentration_trim,,,,928,2497.1498808988804,0.6244435811200001,2019-06-14,1,0.1722265919408241,0.2,2500.2862451919827,1,8
2019-06-26,C08_P1,A2XO34,defensive_sell,4.0,-2.6800803378372686,0.25,277,3954.8013779186253,0.9889475813750002,2019-06-27,1,,,,1,8
2019-06-26,C08_P1,M1KT34,defensive_sell,4.0,-2.439486891166772,0.25,172,4133.62186579758,1.03366388242,2019-06-27,1,,,,1,8
2019-06-26,C08_P1,A2XO34,rebalance_sell,,,1.0,833,11892.958656340126,2.9739831598750004,2019-06-27,1,,,,1,8
2019-06-26,C08_P1,INBR32,rebalance_sell,,,1.0,2,47.052234,0.011766,2019-06-28,1,,,,1,8
2019-06-26,C08_P1,BPAC11,concentration_trim,,,,53,649.0876875,0.1623125,2019-06-28,1,0.1558995851357928,0.2,659.6559772835826,1,8
2019-06-26,C08_P1,BPAC5,concentration_trim,,,,304,1214.93619,0.30381,2019-06-28,1,0.16088130756376862,0.2,1216.680324158584,1,8
2019-07-08,C08_P1,A2XO34,rebalance_sell,,,1.0,1,13.173539958125,0.0032942085416666667,2019-07-10,1,,,,1,8
2019-07-08,C08_P1,B1RF34,rebalance_sell,,,1.0,13,1622.9331877443751,0.40583475562500004,2019-07-10,1,,,,1,8
2019-07-08,C08_P1,M1KT34,rebalance_sell,,,1.0,519,13489.793713248751,3.3732917512500005,2019-07-10,1,,,,1,8
2019-07-08,C08_P1,BPAC11,concentration_trim,,,,51,723.2541412500001,0.18085875,2019-07-11,1,0.15590625110914935,0.2,736.204191945726,1,8
2019-07-08,C08_P1,BPAC5,concentration_trim,,,,632,3315.590895,0.8291049999999999,2019-07-11,1,0.17664533729109363,0.2,3321.291320758224,1,8
2019-07-08,C08_P1,E2NP34,concentration_trim,,,,346,1051.7957265147,0.2630146853,2019-07-10,1,0.1584626983210999,0.2,1054.8524577082244,1,8
2019-07-19,C08_P1,B1RF34,rebalance_sell,,,1.0,1,124.462700544,0.031123456,2019-07-22,1,,,,1,8
2019-07-19,C08_P1,BPAC11,rebalance_sell,,,1.0,1318,18743.8628625,4.6871374999999995,2019-07-23,1,,,,1,8
2019-07-19,C08_P1,QUAL3,rebalance_sell,,,1.0,528,12003.718319999998,3.00168,2019-07-23,1,,,,1,8
2019-07-19,C08_P1,E2NP34,concentration_trim,,,,325,1011.745624344,0.252999656,2019-07-22,1,0.1583932880788899,0.2,1014.7686268123252,1,8
2019-07-31,C08_P1,BPAC11,rebalance_sell,,,1.0,1,14.936264999999999,0.003735,2019-08-02,1,,,,1,8
2019-07-31,C08_P1,BPAC5,rebalance_sell,,,1.0,3564,17441.418555,4.361445,2019-08-02,1,,,,1,8
2019-07-31,C08_P1,CPLE3,rebalance_sell,,,1.0,3641,17559.792954,4.391046,2019-08-02,1,,,,1,8
2019-07-31,C08_P1,MNPR3,rebalance_sell,,,1.0,30417,18519.322011750002,4.63098825,2019-08-02,1,,,,1,8
2019-07-31,C08_P1,QUAL3,rebalance_sell,,,1.0,2,44.428889999999996,0.01111,2019-08-02,1,,,,1,8
2019-07-31,C08_P1,E2NP34,concentration_trim,,,,1223,5183.34010113495,1.2961590650500001,2019-08-01,1,0.18989326710798746,0.2,5187.735244594442,1,8
2019-08-12,C08_P1,CPLE3,rebalance_sell,,,1.0,1,5.1287175,0.0012825,2019-08-14,1,,,,1,8
2019-08-12,C08_P1,MNPR3,rebalance_sell,,,1.0,2,1.1997,0.0003,2019-08-14,1,,,,1,8
2019-08-12,C08_P1,E2NP34,concentration_trim,,,,496,2449.5270746976,0.6125349024,2019-08-13,1,0.16814183186070425,0.2,2452.7943214520346,1,8
2019-08-22,C08_P1,DIRR3,rebalance_sell,,,1.0,1,4.338915,0.001085,2019-08-26,1,,,,1,8
2019-08-22,C08_P1,T2TD34,rebalance_sell,,,1.0,1,1.0506341717760002,0.00026272422400000007,2019-08-23,1,,,,1,8
2019-08-22,C08_P1,E2NP34,concentration_trim,,,,243,1326.4337286450002,0.3316913550000001,2019-08-23,1,0.15947683783711433,0.2,1332.2098757213498,1,8
2019-09-03,C08_P1,C1GP34,rebalance_sell,,,1.0,1,2.5481463491137504,0.0006371958862500002,2019-09-04,1,,,,1,8
2019-09-03,C08_P1,HBOR3,concentration_trim,,,,86,1311.172125,0.327875,2019-09-05,1,0.15913185614289777,0.2,1317.9433658935668,1,8
2019-09-03,C08_P1,LOGN3,concentration_trim,,,,49,1004.248875,0.251125,2019-09-05,1,0.15709859016406505,0.2,1024.4925471435708,1,8
2019-09-03,C08_P1,TRIS3,concentration_trim,,,,236,1960.1270457000003,0.4901543000000001,2019-09-05,1,0.16359458868543686,0.2,1962.0136158935675,1,8
2019-09-10,C08_P1,EZTC3,defensive_sell,6.0,-2.7497966013836264,1.0,437,12224.028428700001,3.0567713000000003,2019-09-12,0,,,,1,8
2019-09-13,C08_P1,E2NP34,rebalance_sell,,,1.0,3862,13850.32272689664,3.4634465433600004,2019-09-16,1,,,,1,8
2019-09-13,C08_P1,CTKA4,concentration_trim,,,,52,1044.9387000000002,0.26130000000000003,2019-09-17,1,0.15789524371621022,0.2,1053.3042409570116,1,8
2019-09-13,C08_P1,LOGN3,concentration_trim,,,,20,386.10345,0.09655,2019-09-17,1,0.15299238664621487,0.2,399.2134359570082,1,8
2019-09-13,C08_P1,TRIS3,concentration_trim,,,,48,375.4149228,0.09387720000000001,2019-09-17,1,0.15281506337919087,0.2,375.55651845700777,1,8
2019-09-25,C08_P1,E2NP34,rebalance_sell,,,1.0,1,4.191690295379999,0.0010481846199999999,2019-09-26,1,,,,1,8
2019-09-25,C08_P1,JHSF3,rebalance_sell,,,1.0,4958,20421.85326,5.10674,2019-09-27,1,,,,1,8
2019-09-25,C08_P1,MNPR3,rebalance_sell,,,1.0,1,0.65483625,0.00016375000000000002,2019-09-27,1,,,,1,8
2019-09-25,C08_P1,CTKA4,concentration_trim,,,,118,2781.7443899999994,0.69561,2019-09-27,1,0.17019175423432764,0.2,2786.369296911649,1,8
2019-09-30,C08_P1,L1RC34,defensive_sell,6.0,-3.042475412589038,1.0,1,2.186804262225,0.0005468377749999999,2019-10-01,0,,,,1,8
2019-10-07,C08_P1,HBOR3,rebalance_sell,,,1.0,1554,21828.241575,5.458425000000001,2019-10-09,1,,,,1,8
2019-10-07,C08_P1,LPSB3,rebalance_sell,,,1.0,1528,11915.420399999999,2.9796,2019-10-09,1,,,,1,8
2019-10-07,C08_P1,MNPR3,rebalance_sell,,,1.0,2,1.2496875,0.0003125,2019-10-09,1,,,,1,8
2019-10-07,C08_P1,TRIS3,rebalance_sell,,,1.0,2558,18589.964946599997,4.6486534,2019-10-09,1,,,,1,8
2019-10-07,C08_P1,PPLA11,concentration_trim,,,,16,1151.712,0.28800000000000003,2019-10-09,1,0.15859447589758627,0.2,1205.6529629252327,1,8
2019-10-08,C08_P1,PPLA11,defensive_sell,6.0,-4.941778336320612,1.0,293,21090.726,5.274,2019-10-10,0,,,,1,8
2019-10-17,C08_P1,BNBR3,rebalance_sell,,,1.0,27,2077.940385,0.519615,2019-10-21,1,,,,1,8
