date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2020-05-19,172204.82758252072,55293.955783160745,0.0,0,8,0.1619267083708074,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,66,398,184,88,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-20,174794.765489631,55300.228882444346,0.0,0,8,0.1628251558236069,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,66,399,184,88,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-21,169133.38733372104,55306.50269341106,0.0,0,8,0.15101277910081617,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,66,400,184,88,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-22,169740.62569101868,2.462577658647347,712.81087272,0,10,0.1500685199921931,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,1,67,400,185,89,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-25,166602.9798333586,714.7546800986103,0.5998500000000001,0,10,0.15005648665471424,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,67,401,185,89,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-26,156272.48850234508,715.4356870700499,0.0,0,10,0.15340399698066662,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,67,402,185,89,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-27,152076.42854156878,715.5168532487479,0.0,0,10,0.15403076101354607,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,67,403,185,89,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-28,156884.86967658575,715.598028635749,0.0,0,10,0.1574622466202479,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,67,404,185,89,1,25,21,56,0,89,4742.135170949458,4,7
2020-05-29,166589.15024394463,715.6792132320977,0.0,0,10,0.15968823410795308,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,67,405,185,89,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-01,164803.2731926888,715.7604070388388,0.0,0,10,0.15970054515669416,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,67,406,185,89,0,25,21,56,0,89,4742.135170949458,4,7
