date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,i_above_ucl,xbar_above_ucl
2024-08-05,V3,VRTX34,defensive_sell,6.0,-2.199380900324594,1.0,1,681.4296,0.1704,2024-08-06,,
2024-08-05,V3,AAPL34,rebalance_sell,,,1.0,1,60.294922500000006,0.0150775,2024-08-06,,
2024-08-05,V3,AMBP3,rebalance_sell,,,1.0,1,5.606897925,0.001402075,2024-08-07,,
2024-08-05,V3,CHCM34,rebalance_sell,,,1.0,1,34.731315,0.008685,2024-08-06,,
2024-08-05,V3,F2IC34,rebalance_sell,,,1.0,1,199.8400275,0.049972499999999996,2024-08-06,,
2024-08-05,V3,MNDL3,rebalance_sell,,,1.0,1,14.43639,0.00361,2024-08-07,,
2024-08-07,V3,AURA33,defensive_sell,6.0,-2.997898340167365,1.0,1510,25422.0429,6.357100000000001,2024-08-09,,
2024-08-07,V3,M1SI34,defensive_sell,4.0,-1.454061259052267,0.25,32,18600.1488,4.6512,2024-08-08,,
2024-08-07,V3,DTCY3,rebalance_sell,,,1.0,2,13.71657,0.0034300000000000003,2024-08-09,,
2024-08-07,V3,M1SI34,rebalance_sell,,,1.0,97,56381.701049999996,14.098949999999999,2024-08-08,,
2024-08-07,V3,T1OW34,rebalance_sell,,,1.0,1415,74905.5189375,18.7310625,2024-08-08,,
2024-08-07,V3,CHCM34,concentration_sell,,,,21,709.8324975,0.1775025,2024-08-08,,
2024-08-07,V3,MNDL3,concentration_sell,,,,7,101.05472999999999,0.02527,2024-08-09,,
2024-08-08,V3,M1SI34,rebalance_sell,,,1.0,1,581.25465,0.14535,2024-08-09,,
2024-08-08,V3,F2IC34,concentration_sell,,,,1,199.8400275,0.049972499999999996,2024-08-09,,
2024-08-08,V3,MNDL3,concentration_sell,,,,10,144.3639,0.0361,2024-08-12,,
2024-08-08,V3,TKNO4,concentration_sell,,,,1,167.958,0.042,2024-08-12,,
2024-08-09,V3,T1OW34,rebalance_sell,,,1.0,1,51.2971725,0.0128275,2024-08-12,,
2024-08-09,V3,AMBP3,concentration_sell,,,,1494,12117.044981250001,3.0300187500000004,2024-08-13,,
2024-08-12,V3,P2LT34,offensive_sell,,0.19686470830515373,0.25,85,4592.251649999999,1.14835,2024-08-13,0.0,1.0
2024-08-12,V3,S1YM34,rebalance_sell,,,1.0,504,67972.60260000001,16.997400000000003,2024-08-13,,
2024-08-12,V3,AMBP3,concentration_sell,,,,1131,10297.102780575,2.574919425,2024-08-14,,
2024-08-13,V3,EALT4,defensive_sell,6.0,-4.972806441515211,1.0,1,13.8665325,0.0034674999999999997,2024-08-15,,
2024-08-13,V3,PNCS34,defensive_sell,6.0,-2.317619843825271,1.0,151,69749.08836750001,17.4416325,2024-08-14,,
2024-08-13,V3,PNCS34,rebalance_sell,,,1.0,1,461.9144925,0.1155075,2024-08-14,,
2024-08-13,V3,F2IC34,concentration_sell,,,,31,6465.603195000001,1.616805,2024-08-14,,
2024-08-13,V3,I1RM34,concentration_sell,,,,3,1777.9553999999998,0.4446,2024-08-14,,
2024-08-13,V3,TKNO4,concentration_sell,,,,18,3023.244,0.756,2024-08-15,,
2024-08-14,V3,AMBP3,defensive_sell,6.0,-4.277819581254233,1.0,11261,65626.2105447,16.410655300000002,2024-08-16,,
2024-08-14,V3,DTCY3,rebalance_sell,,,1.0,1,6.858285,0.0017150000000000002,2024-08-16,,
2024-08-14,V3,F2IC34,concentration_sell,,,,6,1251.40707,0.31293,2024-08-15,,
2024-08-14,V3,I1RM34,concentration_sell,,,,2,1185.3036,0.2964,2024-08-15,,
2024-08-14,V3,MNDL3,concentration_sell,,,,169,2365.4085,0.5915,2024-08-16,,
2024-08-14,V3,TKNO4,concentration_sell,,,,7,1175.706,0.294,2024-08-16,,
2024-08-15,V3,MNDL3,concentration_sell,,,,258,3843.2389500000004,0.9610500000000001,2024-08-19,,
2024-08-15,V3,P2LT34,concentration_sell,,,,50,2846.788125,0.711875,2024-08-16,,
2024-08-16,V3,CHCM34,rebalance_sell,,,1.0,2248,71873.06724,17.972759999999997,2024-08-19,,
2024-08-16,V3,MWET4,rebalance_sell,,,1.0,2313,21598.019145,5.400855,2024-08-20,,
2024-08-16,V3,R1EG34,rebalance_sell,,,1.0,372,73563.20460000001,18.395400000000002,2024-08-19,,
2024-08-16,V3,P2LT34,concentration_sell,,,,33,1924.738695,0.48130500000000004,2024-08-19,,
2024-08-19,V3,CHCM34,rebalance_sell,,,1.0,1,31.8020475,0.0079525,2024-08-20,,
2024-08-19,V3,MWET4,rebalance_sell,,,1.0,1,9.337665,0.002335,2024-08-21,,
2024-08-19,V3,R1EG34,rebalance_sell,,,1.0,1,197.75055,0.04945,2024-08-20,,
2024-08-19,V3,F2IC34,concentration_sell,,,,8,1699.73496,0.42504000000000003,2024-08-20,,
2024-08-19,V3,P2LT34,concentration_sell,,,,5,291.5271,0.0729,2024-08-20,,
2024-08-20,V3,EALT3,rebalance_sell,,,1.0,5051,71756.7663225,17.943677500000003,2024-08-22,,
2024-08-20,V3,T1MU34,rebalance_sell,,,1.0,6,3217.1155200000003,0.8044800000000001,2024-08-21,,
2024-08-21,V3,T1MU34,rebalance_sell,,,1.0,1,536.42586,0.13413999999999998,2024-08-22,,
2024-08-21,V3,I1RM34,concentration_sell,,,,3,1844.53875,0.46125,2024-08-22,,
2024-08-21,V3,WEGE3,concentration_sell,,,,26,1388.832705,0.347295,2024-08-23,,
2024-08-22,V3,NGRD3,rebalance_sell,,,1.0,31,3.4091475,0.0008525000000000001,2024-08-26,,
2024-08-22,V3,TKNO4,rebalance_sell,,,1.0,435,73061.73,18.27,2024-08-26,,
2024-08-22,V3,I1RM34,concentration_sell,,,,1,627.28314,0.15686000000000003,2024-08-23,,
2024-08-22,V3,P2LT34,concentration_sell,,,,8,477.80052,0.11948,2024-08-23,,
2024-08-22,V3,WEGE3,concentration_sell,,,,13,704.42385,0.17615,2024-08-26,,
2024-08-23,V3,NGRD3,rebalance_sell,,,1.0,11,1.237190625,0.000309375,2024-08-27,,
2024-08-23,V3,PGMN3,rebalance_sell,,,1.0,2,6.7783050000000005,0.0016950000000000001,2024-08-27,,
2024-08-23,V3,I1RM34,concentration_sell,,,,2,1249.6875,0.3125,2024-08-26,,
2024-08-23,V3,REGN34,concentration_sell,,,,12,1317.0306600000001,0.32934,2024-08-26,,
2024-08-23,V3,WEGE3,concentration_sell,,,,9,484.1689275,0.12107250000000001,2024-08-27,,
2024-08-26,V3,MNDL3,defensive_sell,4.0,-3.6881420705541688,0.25,1440,15836.04,3.96,2024-08-28,,
2024-08-26,V3,MNDL3,rebalance_sell,,,1.0,4322,47530.1145,11.885499999999999,2024-08-28,,
2024-08-26,V3,AMBP3,concentration_sell,,,,1557,11911.963764374997,2.978735625,2024-08-28,,
2024-08-26,V3,F2IC34,concentration_sell,,,,6,1280.0799000000002,0.32010000000000005,2024-08-27,,
2024-08-26,V3,WEGE3,concentration_sell,,,,6,324.39888,0.08112000000000001,2024-08-28,,
2024-08-27,V3,F2IC34,concentration_sell,,,,4,853.3866,0.2134,2024-08-28,,
2024-08-27,V3,REGN34,concentration_sell,,,,9,990.7422525000001,0.2477475,2024-08-28,,
2024-08-27,V3,WEGE3,concentration_sell,,,,12,647.838,0.162,2024-08-29,,
2024-08-28,V3,NGRD3,rebalance_sell,,,1.0,202,22.719318750000003,0.0056812500000000005,2024-08-30,,
2024-08-28,V3,F2IC34,concentration_sell,,,,4,846.50832,0.21168,2024-08-29,,
2024-08-28,V3,I1RM34,concentration_sell,,,,3,1872.5217525000003,0.4682475000000001,2024-08-29,,
2024-08-28,V3,P2LT34,concentration_sell,,,,35,1960.2098250000001,0.490175,2024-08-29,,
2024-08-28,V3,REGN34,concentration_sell,,,,14,1541.154615,0.385385,2024-08-29,,
2024-08-28,V3,WEGE3,concentration_sell,,,,29,1565.6085,0.3915,2024-08-30,,
2024-08-29,V3,AMBP3,rebalance_sell,,,1.0,12596,73646.77050330001,18.4162967,2024-09-02,,
2024-08-29,V3,F2IC34,rebalance_sell,,,1.0,337,72238.10595749998,18.0640425,2024-08-30,,
2024-08-29,V3,I1RM34,rebalance_sell,,,1.0,115,71780.0005125,17.949487500000004,2024-08-30,,
2024-08-29,V3,M2PR34,rebalance_sell,,,1.0,865,72814.79175,18.20825,2024-08-30,,
2024-08-29,V3,NGRD3,rebalance_sell,,,1.0,2,0.22334415,5.5849999999999996e-05,2024-09-02,,
2024-08-29,V3,P2LT34,rebalance_sell,,,1.0,1275,74058.98062500001,18.519375,2024-08-30,,
2024-08-29,V3,PATI3,rebalance_sell,,,1.0,332,13316.51004,3.32996,2024-09-02,,
2024-08-29,V3,REGN34,rebalance_sell,,,1.0,648,71333.44218,17.83782,2024-08-30,,
2024-08-29,V3,SBFG3,rebalance_sell,,,1.0,4034,70537.021335,17.638664999999996,2024-09-02,,
2024-08-29,V3,WEGE3,rebalance_sell,,,1.0,1322,70762.18503000001,17.69497,2024-09-02,,
2024-08-30,V3,AMBP3,rebalance_sell,,,1.0,3,17.810446275,0.0044537249999999995,2024-09-03,,
2024-08-30,V3,F2IC34,rebalance_sell,,,1.0,1,214.35639749999999,0.0536025,2024-09-02,,
2024-08-30,V3,M2PR34,rebalance_sell,,,1.0,1,84.17895,0.021050000000000003,2024-09-02,,
2024-08-30,V3,P2LT34,rebalance_sell,,,1.0,1,58.205445,0.014555,2024-09-02,,
2024-08-30,V3,PATI3,rebalance_sell,,,1.0,1,40.689825000000006,0.010175000000000002,2024-09-03,,
2024-08-30,V3,REGN34,rebalance_sell,,,1.0,1,111.69207,0.02793,2024-09-02,,
2024-08-30,V3,SBFG3,rebalance_sell,,,1.0,2,34.571355,0.008645,2024-09-03,,
2024-08-30,V3,WEGE3,rebalance_sell,,,1.0,1,54.1364625,0.0135375,2024-09-03,,
2024-09-04,V3,MMMC34,rebalance_sell,,,1.0,391,72617.9109825,18.1590175,2024-09-05,,
2024-09-04,V3,SBFG3,rebalance_sell,,,1.0,1,18.5053725,0.0046275000000000005,2024-09-06,,
2024-09-04,V3,AMBP3,concentration_sell,,,,475,2609.47246875,0.65253125,2024-09-06,,
2024-09-05,V3,F2IC34,concentration_sell,,,,3,655.87599,0.16401,2024-09-06,,
2024-09-05,V3,PATI3,concentration_sell,,,,43,1913.021625,0.478375,2024-09-09,,
2024-09-05,V3,WEGE3,concentration_sell,,,,18,971.577045,0.242955,2024-09-09,,
2024-09-06,V3,F2IC34,concentration_sell,,,,8,1733.1666,0.4334,2024-09-09,,
2024-09-06,V3,WEGE3,concentration_sell,,,,17,898.73526,0.22474000000000002,2024-09-10,,
2024-09-09,V3,NGRD3,rebalance_sell,,,1.0,669865,59134.292230125015,14.787269875000002,2024-09-11,,
2024-09-09,V3,PATI3,rebalance_sell,,,1.0,1717,51891.93377250001,12.9762275,2024-09-11,,
2024-09-09,V3,AMBP3,concentration_sell,,,,1293,7109.722125,1.777875,2024-09-11,,
2024-09-09,V3,D1HI34,concentration_sell,,,,3,3173.2065,0.7935,2024-09-10,,
2024-09-09,V3,F2IC34,concentration_sell,,,,11,2383.1040749999997,0.5959249999999999,2024-09-10,,
2024-09-09,V3,I1RM34,concentration_sell,,,,5,3167.208,0.792,2024-09-10,,
2024-09-09,V3,WEGE3,concentration_sell,,,,36,1887.72795,0.47205,2024-09-11,,
2024-09-10,V3,NGRD3,defensive_sell,6.0,-2.763482812982266,1.0,2,0.18655334999999998,4.6649999999999996e-05,2024-09-12,,
2024-09-10,V3,IRBR3,rebalance_sell,,,1.0,470,22648.3365,5.6635,2024-09-12,,
2024-09-10,V3,PATI3,rebalance_sell,,,1.0,1,26.11347,0.00653,2024-09-12,,
2024-09-10,V3,AMBP3,concentration_sell,,,,595,3460.071265875,0.865234125,2024-09-12,,
2024-09-10,V3,WEGE3,concentration_sell,,,,3,158.6303325,0.0396675,2024-09-12,,
2024-09-11,V3,IRBR3,rebalance_sell,,,1.0,1,45.968505,0.011495,2024-09-13,,
2024-09-11,V3,MNPR3,rebalance_sell,,,1.0,2,3.219195,0.000805,2024-09-13,,
2024-09-11,V3,WEGE3,concentration_sell,,,,16,855.786,0.214,2024-09-13,,
2024-09-12,V3,D1HI34,rebalance_sell,,,1.0,65,68752.8075,17.1925,2024-09-13,,
2024-09-12,V3,MNPR3,rebalance_sell,,,1.0,1,1.6195950000000001,0.00040500000000000003,2024-09-16,,
2024-09-13,V3,I1RM34,offensive_sell,,2.3528906454343748,0.25,26,17181.7035,4.2965,2024-09-16,1.0,0.0
2024-09-13,V3,V1TA34,offensive_sell,,0.008540107327534496,0.25,79,14315.960115,3.579885,2024-09-16,0.0,1.0
2024-09-16,V3,WEGE3,rebalance_sell,,,1.0,1273,67452.13275,16.867250000000002,2024-09-18,,
2024-09-16,V3,AMBP3,concentration_sell,,,,384,2239.1200799999997,0.55992,2024-09-18,,
2024-09-16,V3,SBFG3,concentration_sell,,,,8,141.64458000000002,0.03542,2024-09-18,,
2024-09-17,V3,N1EM34,rebalance_sell,,,1.0,102,29596.059135000003,7.4008650000000005,2024-09-18,,
2024-09-17,V3,AMBP3,concentration_sell,,,,137,793.1412651,0.1983349,2024-09-19,,
2024-09-17,V3,F2IC34,concentration_sell,,,,19,4389.6123225,1.0976775,2024-09-18,,
