date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2022-04-07,232589.02417171714,232589.02417171714,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-08,232690.75628499963,232690.75628499963,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-11,232792.53289489116,232792.53289489116,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-12,232894.35402085408,232894.35402085408,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-13,232996.21968235928,232996.21968235928,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-14,233098.12989888617,233098.12989888617,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-18,233200.08468992266,233200.08468992266,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-19,233302.0840749652,233302.0840749652,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-20,233404.12807351878,233404.12807351878,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-22,233506.2167050969,233506.2167050969,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-25,233608.34998922155,233608.34998922155,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-26,233710.52794542335,233710.52794542335,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-27,233812.75059324142,233812.75059324142,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-28,233915.01795222342,233915.01795222342,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-04-29,234017.33004192557,234017.33004192557,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
2022-05-02,234119.68688191264,234119.68688191264,0.0,1,0,0.0,0,0.00043739,C3,,1,39,24,81,1,115,3421.984003014035
