date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,buffer_k,is_rebalance_day
2019-10-04,C01,LPSB3,rebalance_sell,,,1.0,1,7.998,0.002,2019-10-08,15.0,1
2019-10-07,C01,HBOR3,rebalance_sell,,,1.0,1542,21659.683725000003,5.416275000000001,2019-10-09,15.0,1
2019-10-07,C01,TRIS3,rebalance_sell,,,1.0,4,29.0695308,0.0072692,2019-10-09,15.0,1
2019-10-08,C01,PPLA11,defensive_sell,6.0,-4.941778336320612,1.0,313,22530.366,5.634,2019-10-10,15.0,1
2019-10-08,C01,HBOR3,rebalance_sell,,,1.0,4,54.7863,0.0137,2019-10-10,15.0,1
2019-10-08,C01,BGIP3,concentration_trim,,,,39,2339.415,0.585,2019-10-10,15.0,1
2019-10-09,C01,NVDC34,rebalance_sell,,,1.0,4,1.5414302610712496,0.0003854539287499,2019-10-10,15.0,1
2019-10-09,C01,BGIP3,concentration_trim,,,,4,243.49911,0.06089,2019-10-11,15.0,1
2019-10-10,C01,K1LA34,concentration_trim,,,,4,647.460394425,0.161905575,2019-10-11,15.0,1
2019-10-10,C01,BGIP3,concentration_trim,,,,4,243.49911,0.06089,2019-10-14,15.0,1
2019-10-10,C01,LOGN3,rebalance_sell,,,1.0,1116,21589.20135,5.398650000000002,2019-10-14,15.0,1
2019-10-10,C01,HBOR3,rebalance_sell,,,1.0,1020,13766.5575,3.4425000000000003,2019-10-14,15.0,1
2019-10-10,C01,BNBR3,rebalance_sell,,,1.0,293,22549.501215000004,5.638785,2019-10-14,15.0,1
2019-10-11,C01,BNBR3,rebalance_sell,,,1.0,2,153.92151,0.03849,2019-10-15,15.0,1
2019-10-11,C01,CTKA4,rebalance_sell,,,1.0,977,23051.4357,5.764300000000001,2019-10-15,15.0,1
2019-10-11,C01,LOGN3,rebalance_sell,,,1.0,9,179.955,0.045,2019-10-15,15.0,1
2019-10-11,C01,BGIP3,concentration_trim,,,,38,2659.335,0.665,2019-10-15,15.0,1
2019-10-14,C01,BNBR3,rebalance_sell,,,1.0,1,76.960755,0.019245,2019-10-16,15.0,1
2019-10-14,C01,CTKA4,rebalance_sell,,,1.0,1,23.55411,0.0058899999999999,2019-10-16,15.0,1
2019-10-14,C01,BGIP3,concentration_trim,,,,1,69.9825,0.0175,2019-10-16,15.0,1
2019-10-15,C01,T2ER34,concentration_trim,,,,75,1066.1478630499998,0.2666036166666666,2019-10-16,15.0,1
2019-10-15,C01,PPLA11,defensive_sell,6.0,-4.03475714334217,1.0,417,22362.28803,5.591970000000001,2019-10-17,15.0,1
2019-10-15,C01,L1RC34,concentration_trim,,,,538,1227.576591654818,0.3069708906363635,2019-10-16,15.0,1
2019-10-16,C01,BGIP3,defensive_sell,6.0,-3.7132325864482296,1.0,405,22678.3789875,5.6710125,2019-10-18,15.0,1
2019-10-16,C01,HAPV3,rebalance_sell,,,1.0,2,344.67381,0.08619,2019-10-18,15.0,1
2019-10-16,C01,K1LA34,concentration_trim,,,,5,832.1947692824999,0.2081007174999999,2019-10-17,15.0,1
2019-10-17,C01,K1LA34,rebalance_sell,,,1.0,136,22759.756875940497,5.691362059499999,2019-10-18,15.0,1
2019-10-17,C01,L1RC34,rebalance_sell,,,1.0,9978,22190.9602023494,5.549127332420455,2019-10-18,15.0,1
2019-10-17,C01,NVDC34,rebalance_sell,,,1.0,3,1.2582421489279687,0.0003146391970312,2019-10-18,15.0,1
2019-10-18,C01,S1HW34,rebalance_sell,,,1.0,4,309.337835834592,0.077353797408,2019-10-21,15.0,1
2019-10-18,C01,NVDC34,rebalance_sell,,,1.0,4,1.6415960583599998,0.0004105016399999,2019-10-21,15.0,1
2019-10-18,C01,K1LA34,rebalance_sell,,,1.0,1,165.142040166,0.041295834,2019-10-21,15.0,1
2019-10-18,C01,BGIP3,defensive_sell,4.0,-0.5664482075696978,0.25,102,5608.5975,1.4025,2019-10-22,15.0,1
2019-10-18,C01,L1RC34,rebalance_sell,,,1.0,1,2.197080410727273,0.0005494074545454,2019-10-21,15.0,1
2019-10-21,C01,S1HW34,rebalance_sell,,,1.0,1,75.78901730767501,0.018951992325,2019-10-22,15.0,1
2019-10-21,C01,T2ER34,rebalance_sell,,,1.0,1622,22356.5552695485,5.5905364515,2019-10-22,15.0,1
2019-10-22,C01,ATTB34,rebalance_sell,,,1.0,1,39.253768750505,0.0098158961616666,2019-10-23,15.0,1
2019-10-22,C01,T2ER34,rebalance_sell,,,1.0,1,13.423036179583333,0.0033565981944444,2019-10-23,15.0,1
2019-10-22,C01,HBOR3,concentration_trim,,,,68,1172.70675,0.29325,2019-10-24,15.0,1
2019-10-23,C01,L1RC34,rebalance_sell,,,1.0,1,2.157488397569318,0.0005395069761363,2019-10-24,15.0,1
2019-10-23,C01,NVDC34,rebalance_sell,,,1.0,4,1.6546573430556248,0.0004137677777083,2019-10-24,15.0,1
2019-10-24,C01,POSI3,concentration_trim,,,,571,2323.3890075,0.5809925,2019-10-28,15.0,1
2019-10-24,C01,BGIP3,concentration_trim,,,,1,54.98625,0.01375,2019-10-28,15.0,1
2019-10-24,C01,MGLU3,rebalance_sell,,,1.0,134,13795.3610973,3.4497027,2019-10-28,15.0,1
2019-10-24,C01,NVDC34,rebalance_sell,,,1.0,2,0.8218695374859374,0.0002055187640624,2019-10-25,15.0,1
2019-10-24,C01,L1RC34,rebalance_sell,,,1.0,1,2.419312838727272,0.0006049794545454,2019-10-25,15.0,1
2019-10-25,C01,BGIP3,concentration_trim,,,,4,219.945,0.055,2019-10-29,15.0,1
2019-10-25,C01,AMAR3,rebalance_sell,,,1.0,3,63.82404,0.01596,2019-10-29,15.0,1
2019-10-25,C01,HBOR3,rebalance_sell,,,1.0,1394,22298.424,5.576,2019-10-29,15.0,1
2019-10-25,C01,MGLU3,rebalance_sell,,,1.0,1,99.975,0.025,2019-10-29,15.0,1
2019-10-25,C01,AMER3,concentration_trim,,,,3,40.467380625,0.010119375,2019-10-29,15.0,1
2019-10-28,C01,TGTB34,rebalance_sell,,,1.0,48,20951.982902448,5.239305551999999,2019-10-29,15.0,1
2019-10-28,C01,ORLY34,rebalance_sell,,,1.0,2,0.7566300112605,0.0001892048040161,2019-10-29,15.0,1
2019-10-28,C01,RSUL4,rebalance_sell,,,1.0,1,10.897275,0.002725,2019-10-30,15.0,1
2019-10-29,C01,NVDC34,rebalance_sell,,,1.0,5,2.110368713390625,0.000527724109375,2019-10-30,15.0,1
2019-10-29,C01,BGIP3,concentration_trim,,,,1,54.98625,0.01375,2019-10-31,15.0,1
2019-10-29,C01,BMYB34,concentration_trim,,,,1,222.7231472895,0.0556947105,2019-10-30,15.0,1
2019-10-30,C01,AMER3,rebalance_sell,,,1.0,1660,21960.458512499998,5.491487500000001,2019-11-01,15.0,1
2019-10-30,C01,NVDC34,rebalance_sell,,,1.0,4,1.6991080334375002,0.0004248832291666,2019-10-31,15.0,1
2019-10-30,C01,BMYB34,concentration_trim,,,,2,456.961295109,0.114268891,2019-10-31,15.0,1
2019-10-30,C01,POSI3,concentration_trim,,,,93,383.9939775,0.0960225,2019-11-01,15.0,1
2019-10-31,C01,POSI3,rebalance_sell,,,1.0,5466,22951.460700000003,5.739300000000001,2019-11-04,15.0,1
2019-10-31,C01,BMYB34,rebalance_sell,,,1.0,99,22736.12103137925,5.68545162075,2019-11-01,15.0,1
2019-10-31,C01,TGTB34,rebalance_sell,,,1.0,1,427.97131141725,0.10701958275,2019-11-01,15.0,1
2019-10-31,C01,TSLA34,rebalance_sell,,,1.0,5951,15629.53197069137,3.908360082693517,2019-11-01,15.0,1
2019-11-01,C01,AMER3,rebalance_sell,,,1.0,1,12.779304375,0.003195625,2019-11-05,15.0,1
2019-11-04,C01,NVDC34,rebalance_sell,,,1.0,9,3.938193799101562,0.0009847946484374,2019-11-05,15.0,1
